Domain,Search Term,Position,Advertisers,Last seen date,Avg. Monthly Searches Local,Competition,Suggested bid,Estimated Clicks,Estimated Impressions,Estimated Cost,Estimated CTR,Estimated Average CPC,Estimated Average Position,Avg. Monthly Searches Global
barilliance.com,shopping cart abandonment,10,10,01/12/16,260,0.72,38.79,34,1562.3,4472.25,0.022,129.85,1.34,590
barilliance.com,cart abandonment,12,14,01/12/16,320,0.78,54.3,73,11993.24,4255.39,0.006,58.34,1,880
barilliance.com,recommendation engine,2,9,01/01/17,720,0.37,10.16,36,3447.35,1707.15,0.01,47.94,1.02,2900
barilliance.com,abandoned cart,4,14,01/01/17,320,0.84,45.71,0,1810.21,0,0,0,1.11,1600
barilliance.com,product recommendation,2,9,01/01/17,210,0.5,15,32,1314.39,354.46,0.024,11.12,1.03,720
barilliance.com,website abandonment,2,6,01/01/17,50,0.08,0,0,0,0,0,0,0,70
barilliance.com,product recommendations,2,7,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,shopping cart abandonment statistics,7,7,01/01/17,40,0.89,0,0,0,0,0,0,0,90
barilliance.com,cart abandonment email,3,7,01/01/17,170,0.68,34.28,11,1314.39,749.23,0.008,68.15,1,390
barilliance.com,recommendations engine,8,14,01/06/16,0,0,0,0,0,0,0,0,0,0
barilliance.com,cart abandon,4,13,01/01/17,10,1,0,4,411.62,467.1,0.011,105.34,1.1,30
barilliance.com,abandoned cart emails,3,14,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,shopping cart optimization,9,11,01/12/16,20,0.54,0,0,126.29,0,0,0,1,30
barilliance.com,shopping cart recovery,3,14,01/12/16,40,0.88,23.8,0,374.2,0,0,0,1.42,70
barilliance.com,email shopping cart,2,5,01/11/16,10,0.78,0,0,0,0,0,0,0,20
barilliance.com,abandoned shopping cart,4,10,01/01/17,170,0.94,55.92,125,5262.25,3295.43,0.024,26.38,1.05,390
barilliance.com,recommendation engines,6,12,01/04/16,140,0.39,13.35,24,1889.73,793.2,0.013,33.2,1.02,480
barilliance.com,best online shopping cart software,11,14,01/12/16,10,0.13,0,23,2797.18,6796.06,0.008,295.83,1.16,20
barilliance.com,abandon cart,5,14,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,shopping cart abandonment software,6,10,01/01/17,20,1,49.36,0,42.1,0,0,0,2,30
barilliance.com,shopping cart abandoment,4,14,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,dropped shopping cart recoery,6,13,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,cart abandonment recovery,1,14,01/01/17,10,1,0,0,0,0,0,0,0,20
barilliance.com,cart recovery solution,2,7,01/01/17,10,0.71,0,0,0,0,0,0,0,10
barilliance.com,recommnedation engine,3,12,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,travel recommendation engine,2,13,01/08/16,10,0.33,0,0,0,0,0,0,0,20
barilliance.com,top 10 cart abandonment companies,4,14,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,shopping cart adandonment,11,12,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,reduce shopping cart abandonment,4,12,01/01/17,10,0.92,0,0,285.33,0,0,0,2.02,40
barilliance.com,Cart Recovery,3,8,01/01/17,30,0.47,18.15,0,42.1,0,0,0,1,140
barilliance.com,ecommerce product recommendation,3,14,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,abandoned cart recovery magento,4,14,01/01/17,10,1,0,0,42.1,0,0,0,1,20
barilliance.com,cart abandoment,4,14,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,Retargeting ecommerce,1,4,01/12/16,10,0.63,0,0,0,0,0,0,0,20
barilliance.com,how to reduce shopping cart abandonment,12,14,01/01/17,10,0.98,0,0,0,0,0,0,0,20
barilliance.com,recommendation engine for ecommerce,2,14,01/01/17,10,0.64,5.65,0,0,0,0,0,0,20
barilliance.com,ecommerce cart recovery,11,14,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,shopping cart abandonment recovery,6,14,01/01/17,10,1,0,0,0,0,0,0,0,10
barilliance.com,cart abandonment tool,2,13,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,decrease shopping cart abandonment,5,14,01/01/17,10,1,0,0,0,0,0,0,0,10
barilliance.com,abandoned cart recovery email,4,14,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,dropped cart marketing automation,4,12,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,ecommerce recommendation,6,7,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,ecommerce reccommendation,1,12,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,abandoned cart solution,4,14,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,online shopping cart solution,3,14,01/11/16,0,0,0,0,0,0,0,0,0,0
barilliance.com,reduce cart abandonment,11,12,01/01/17,10,1,0,0,84.2,0,0,0,2,20
barilliance.com,abandoned shopping carts,5,14,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,abandoned cart email best practices,6,14,01/01/17,50,0.89,33.98,0,84.2,0,0,0,1,110
barilliance.com,eommerce cart recovery,9,13,01/12/16,0,0,0,0,0,0,0,0,0,0
barilliance.com,abandoned cart recovery solution,1,14,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,shopping cart abandonment rate,5,5,01/08/16,70,0.78,89.48,0,84.2,0,0,0,1,170
barilliance.com,abandoned shopping cart recovery,13,14,01/12/16,10,0.96,50.85,0,0,0,0,0,0,30
barilliance.com,cross selling software,1,7,01/01/17,10,0.38,0,0,0,0,0,0,0,30
barilliance.com,online shppping cart,6,14,01/11/16,0,0,0,0,0,0,0,0,0,0
barilliance.com,magneto abandoned cart email,5,14,01/01/17,0,0,0,0,0,0,0,0,0,10
barilliance.com,dropped cart recovery,1,9,01/12/16,0,0,0,0,0,0,0,0,0,0
barilliance.com,recover abandoned carts,1,14,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,mobile cart abandonmnet,13,14,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,best shopping cart recovery,4,13,01/12/16,0,0,0,0,0,0,0,0,0,0
barilliance.com,abandoned cart reminder,1,14,01/01/17,10,0.63,0,0,0,0,0,0,0,50
barilliance.com,shopping cart recovery software,10,14,01/01/17,10,0,0,0,0,0,0,0,0,10
barilliance.com,browse abandonment programs,5,11,01/11/16,0,0,0,0,0,0,0,0,0,0
barilliance.com,Shopping cart data,7,9,01/12/16,10,0.34,0,0,0,0,0,0,0,10
barilliance.com,woocomoerce abandoned cart email,6,14,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,abandoned cart rate,3,10,01/12/16,10,0.43,0,0,0,0,0,0,0,40
barilliance.com,abandoned cart recovery emails,3,14,01/01/17,20,0.99,0,0,0,0,0,0,0,30
barilliance.com,abandoned cart tool,2,14,01/01/17,10,0,0,0,0,0,0,0,0,10
barilliance.com,abandon cart email,3,14,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,Ecommerce retargeting,2,2,01/01/17,20,0.71,58.41,0,0,0,0,0,0,40
barilliance.com,shopping cart abandonment email,7,12,01/01/17,30,0.98,43.25,0,84.2,0,0,0,1,50
barilliance.com,mobile shopping cart abandonment,5,14,01/09/16,10,1,0,0,0,0,0,0,0,10
barilliance.com,dropped cart,1,3,01/12/16,10,0,0,0,0,0,0,0,0,10
barilliance.com,average shopping cart abandonment rate,5,7,01/12/16,20,0.51,0,0,0,0,0,0,0,30
barilliance.com,shopping email,1,14,01/01/17,10,0.62,0,0,252.59,0,0,0,1,20
barilliance.com,top 10 saas cart abandonment solutions,4,11,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,browse abandonment campaigns,5,10,01/12/16,0,0,0,0,0,0,0,0,0,0
barilliance.com,browse abandonment emails,1,4,01/01/17,20,0.62,8.29,0,42.1,0,0,0,1,50
barilliance.com,ecommerce abandoned cart,6,14,01/01/17,10,0.7,28.79,0,0,0,0,0,0,20
barilliance.com,shopping cart abandonment rates,4,14,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,shoping cart abandonment,12,14,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,cart recovery email,2,4,01/12/16,90,0.64,25.67,0,290.01,0,0,0,1.27,210
barilliance.com,shopping cart abandoned,4,14,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,cart abandonment software,3,7,01/01/17,90,0.38,54.33,17,163.71,5021.24,0.105,291.63,1,170
barilliance.com,cart recovery emails,4,11,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,Best email marketing for ecommerce,5,14,01/07/16,10,1,0,0,0,0,0,0,0,10
barilliance.com,ecommerce product recommendation tools,3,9,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,Cart recovery software,5,10,01/01/17,10,1,0,0,0,0,0,0,0,20
barilliance.com,e-commerce recommendation applications,1,9,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,recovering abandoned carts,2,14,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,abandon shopping cart,5,14,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,Customer shopping cart,1,5,01/11/16,10,0.57,0,0,0,0,0,0,0,10
barilliance.com,ecommerce reccomendation,2,9,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,ecommerce retargeting agency,9,14,01/12/16,0,0,0,0,0,0,0,0,0,0
barilliance.com,shopping cart server,2,8,01/11/16,10,0.29,0,0,0,0,0,0,0,10
barilliance.com,Abandoned cart recovery,2,14,01/01/17,90,0.93,35.28,0,411.62,0,0,0,1.19,210
barilliance.com,abandoned cart platform,2,14,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,dropped shopping cart abandonment,4,14,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,recover dropped carts,1,8,01/08/16,0,0,0,0,0,0,0,0,0,0
barilliance.com,cart abandonment solutions,5,14,01/11/16,50,0.36,58.27,0,126.29,0,0,0,1.96,140
barilliance.com,cart abandoned solution,7,14,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,dropped cart emails,2,5,01/01/17,0,0,0,0,0,0,0,0,0,0
barilliance.com,abandoned cart email,4,11,01/01/17,590,0.89,26.94,67,2998.31,1872.43,0.022,28.05,1,1300
barilliance.com,abandonaid,2,7,01/01/17,50,0.16,0,0,0,0,0,0,0,170
barilliance.com,magento abandoned carts,7,9,01/01/17,0,0,0,0,0,0,0,0,0,0
